"Poverty headcount ratio at $3.65/day (%, 2025)"
ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ARG,Argentina,11.08,15.13,22.2,13.53,9.78,7.8,6.74,5.08,4.7,4.39,3.17,2.2,2.34,2.1,2.33,2.28,2.42,2.25,2.88,3.58,3.79,2.9,2.34,2.46,2.69,2.47
AUS,Australia,0.25,0.24,0.29,0.34,0.12,0.14,0.16,0.17,0.18,0.18,0.17,0.21,0.25,0.29,0.33,0.3,0.27,0.35,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43
BRA,Brazil,26.82,25.95,26.78,25.72,24.22,22.89,20.34,18.49,16.8,15.22,13.83,12.81,11.45,10.03,9.26,10.01,11.6,11.96,11.99,11.73,6.22,12.62,10.78,10.46,10.12,9.9
CAN,Canada,0.5,0.43,0.39,0.39,0.43,0.45,0.39,0.37,0.41,0.32,0.36,0.23,0.37,0.45,0.36,0.34,0.27,0.28,0.29,0.3,0.31,0.31,0.3,0.3,0.3,0.3
CHN,China,68.06,65.43,61.76,59.02,55.7,50.18,46.29,41.12,38.12,34.83,30.9,24.45,21.12,14.48,11.98,8.96,6.94,5.91,4.26,2.56,1.77,1.07,1.07,0.99,0.93,0.89
DEU,Germany,0.12,0.09,0.13,0.23,0.16,0.17,0.12,0.14,0.16,0.14,0.11,0.11,0.14,0.17,0.25,0.28,0.31,0.42,0.35,0.4,0.45,0.45,0.44,0.44,0.44,0.44
FRA,France,0.14,0.14,0.07,0.07,0.04,0.11,0.05,0.05,0.12,0.16,0.13,0.11,0.14,0.14,0.16,0.29,0.29,0.23,0.18,0.23,0.35,0.35,0.35,0.35,0.35,0.35
GBR,United Kingdom,0.23,0.22,0.28,0.24,0.17,0.24,0.22,0.13,0.27,0.26,0.15,0.13,0.14,0.05,0.15,0.14,0.26,0.21,0.17,0.26,0.15,0.19,0.19,0.19,0.19,0.19
IDN,Indonesia,51.26,49.15,40.61,39.63,40.31,38.84,44.82,38.63,38.48,36.75,32.44,31.25,30.53,28.3,26.36,24.99,22.33,19.92,17.82,16.6,15.65,15.24,13.77,12.47,11.34,10.25
IND,India,56.17,54.59,54.83,53.21,52.05,50.4,50.19,48.87,49.01,48.9,42.88,36.2,33.78,30.71,28.18,24.82,21.31,18.53,15.54,13.58,15.88,11.93,9.87,8.04,6.64,5.55
ITA,Italy,1.65,1.61,1.59,1.05,0.94,0.93,0.89,0.94,0.99,1.12,1.47,1.34,1.63,1.76,1.57,2.4,2.35,2.1,1.86,1.16,1.12,0.94,0.92,0.92,0.91,0.91
JPN,Japan,0.73,0.72,0.71,0.71,0.7,0.69,0.68,0.68,0.68,0.38,0.21,0.3,0.4,0.5,0.51,0.51,0.51,0.5,0.5,0.5,0.52,0.51,0.51,0.5,0.5,0.49
KOR,"Korea, Rep.",0.79,0.74,0.67,0.68,0.68,0.65,0.62,0.57,0.55,0.67,0.75,0.71,0.68,0.58,0.48,0.51,0.5,0.44,0.25,0.25,0.2,0.15,0.15,0.14,0.14,0.14
MEX,Mexico,21.57,19.7,18.08,18.63,19.11,16.49,13.43,15.67,18,16.45,12.75,12.17,12,12.25,12.64,10.66,9.08,8.32,7.68,7.96,9.67,7.12,4.96,4.77,4.72,4.69
RUS,Russian Federation,10.68,7.68,5.82,5.96,5.03,4.14,3.01,2.05,1.24,1.2,1.1,1.02,1.03,0.97,0.95,0.95,0.95,0.96,0.94,0.91,0.9,0.83,0.84,0.82,0.79,0.78
TUR,Türkiye,8.4,10.08,9.64,11.72,8.06,8.05,6.36,5.2,4.68,4.09,3.88,3.32,2.98,2.48,2.22,2.53,1.89,1.71,1.59,2.29,2.17,1.61,1.21,1.13,1.11,1.08
USA,United States,0.86,0.94,0.91,0.96,0.98,0.94,0.95,0.92,0.97,0.89,1,1,0.98,0.97,1.11,1.05,0.99,1.08,0.94,0.85,0.73,0.65,1.06,1.05,1.03,1.02
ZAF,South Africa,45.37,45.31,45.32,45.46,44.72,43.81,39.46,35.82,33.91,34.86,33.39,33.22,33.29,33.85,34.69,34.5,34.67,34.55,34.03,33.99,36.02,34.74,34.36,34.44,34.42,34.27

Source: World Data Lab

Sustainable Development Report 2025 (www.sdgindex.org)
